n1,n2,n3,d1_nm,d2_nm,d3_nm,reflectance
1.8,1.86666666666667,1.06666666666667,188,200,80,0.347660119554408
1.13333333333333,1,1.13333333333333,92,56,200,0.00408973776998704
1.2,2,1.2,92,152,152,0.0982066771252972
1.8,1.66666666666667,1.06666666666667,68,128,128,0.211116537809446
1.33333333333333,1.86666666666667,1,200,104,44,0.260971627390947
1,1.26666666666667,2,188,104,44,0.0495317748274977
1,1.6,1.93333333333333,176,188,20,0.0912865379064827
1.13333333333333,1.73333333333333,1.86666666666667,152,176,176,0.0545935000698215
1.46666666666667,1.66666666666667,1.13333333333333,188,128,128,0.130714145317498
1.53333333333333,1.2,1.26666666666667,68,80,152,0.0536701206696901
1.4,1,1.33333333333333,68,80,20,0.117793021596959
1.53333333333333,2,1.73333333333333,68,116,200,0.0307542053500501
1.8,1.93333333333333,1.66666666666667,32,80,176,0.0906509245125596
1.53333333333333,1.86666666666667,1.73333333333333,80,92,56,0.0228369566583534
1.13333333333333,1.06666666666667,1.8,116,188,44,0.115270035463223
1.4,1.6,1.2,200,188,44,0.007809209971897
1.8,1.8,1.13333333333333,188,176,68,0.208861011831953
1.46666666666667,1.4,1.4,80,92,116,0.0310710345713284
1.73333333333333,1.93333333333333,1.2,128,188,92,0.0685408697722684
1.53333333333333,2,1.86666666666667,116,140,68,0.0302873178103249
1.46666666666667,1.33333333333333,1.13333333333333,140,164,128,0.156598481093523
1.73333333333333,1.86666666666667,1.33333333333333,152,56,44,0.137605141453685
1.46666666666667,2,1.6,164,140,68,0.0525463020186705
1.73333333333333,1.86666666666667,1.6,164,176,80,0.0927979863327194
1.33333333333333,2,1,164,68,104,0.4046164513487
1.46666666666667,1.2,1.06666666666667,20,128,164,0.0300872689484491
1.8,1.8,1.86666666666667,32,56,56,0.0296523119376411
1,1.86666666666667,1.26666666666667,140,56,116,0.25633962259451
1.66666666666667,1.4,1.53333333333333,140,104,128,0.0358717803892996
1.73333333333333,1.13333333333333,1.26666666666667,188,152,20,0.153644344793299
1.8,2,1.46666666666667,116,152,128,0.0366934869106563
1.13333333333333,1.46666666666667,1.46666666666667,140,152,44,0.00812330003893627
1.4,1.2,1.46666666666667,140,20,32,0.0509241000212783
1.66666666666667,1,1.66666666666667,188,44,200,0.00514945123222993
1.53333333333333,1.53333333333333,1.2,56,104,200,0.0173122090509121
1.26666666666667,1,1.2,200,188,164,0.0213225529563379
1,1.13333333333333,1.73333333333333,200,176,68,0.0698779499211317
1.4,1,1.06666666666667,20,128,32,0.0752264966552715
1.73333333333333,1.8,1.6,44,200,140,0.113068679969553
1.26666666666667,1.8,1.86666666666667,140,20,104,0.0427368528415504
1,1.93333333333333,1.86666666666667,56,200,32,0.163225577390151
1.33333333333333,1.86666666666667,1.2,164,188,104,0.0944490602682622
1.93333333333333,1.66666666666667,1.86666666666667,164,116,20,0.0550037063320794
