n1(SiO2),n2(Si3N4),n3(Al2O3),h1(SiO2)/nm,h2(Si3N4)/nm,h3(Al2O3)/nm,T()
2.12699,4.06632,3.1262,0.1,0.1,0.1,0.1405287674405466
2.12699,4.06632,3.1262,0.1,0.1,0.2,0.2922481067697572
2.12699,4.06632,3.1262,0.1,0.1,0.3,0.4898124274604079
2.12699,4.06632,3.1262,0.1,0.1,0.4,0.1681781031261627
2.12699,4.06632,3.1262,0.1,0.1,0.5,0.9742727601789608
2.12699,4.06632,3.1262,0.1,0.1,0.6,0.1104253128577605
2.12699,4.06632,3.1262,0.1,0.1,0.7,0.8417826337553379
2.12699,4.06632,3.1262,0.1,0.1,0.8,0.720769938385264
2.12699,4.06632,3.1262,0.1,0.1,0.9,0.3494260193252217
2.12699,4.06632,3.1262,0.1,0.1,1.0,0.7370131704887699
2.12699,4.06632,3.1262,0.1,0.1,1.1,0.7183754612293939
2.12699,4.06632,3.1262,0.1,0.1,1.2000000000000002,0.1648073607844103
2.12699,4.06632,3.1262,0.1,0.1,1.3,0.1005812685268747
2.12699,4.06632,3.1262,0.1,0.1,1.4,0.9285110995280862
2.12699,4.06632,3.1262,0.1,0.1,1.5000000000000002,0.8542085970497731
2.12699,4.06632,3.1262,0.1,0.1,1.6,0.2251290432218589
2.12699,4.06632,3.1262,0.1,0.1,1.7000000000000002,0.9334372084016176
2.12699,4.06632,3.1262,0.1,0.1,1.8000000000000005,0.3970673452723687
2.12699,4.06632,3.1262,0.1,0.1,1.9,0.9575063208993964
2.12699,4.06632,3.1262,0.1,0.1,2.0,0.8548406538753508
2.12699,4.06632,3.1262,0.1,0.2,0.1,0.8561288781100392
2.12699,4.06632,3.1262,0.1,0.2,0.2,0.2735681808027433
2.12699,4.06632,3.1262,0.1,0.2,0.3,0.1439920532718968
2.12699,4.06632,3.1262,0.1,0.2,0.4,0.3821468960868355
2.12699,4.06632,3.1262,0.1,0.2,0.5,0.7832070051565796
2.12699,4.06632,3.1262,0.1,0.2,0.6,0.4320865311468937
2.12699,4.06632,3.1262,0.1,0.2,0.7,0.5786774316764002
2.12699,4.06632,3.1262,0.1,0.2,0.8,0.8760649029861858
2.12699,4.06632,3.1262,0.1,0.2,0.9,0.4609521689343911
2.12699,4.06632,3.1262,0.1,0.2,1.0,0.1194717233261068
2.12699,4.06632,3.1262,0.1,0.2,1.1,0.6837374633510619
2.12699,4.06632,3.1262,0.1,0.2,1.2000000000000002,0.3913380435699317
2.12699,4.06632,3.1262,0.1,0.2,1.3,0.9224428571946992
2.12699,4.06632,3.1262,0.1,0.2,1.4,0.7539897580192346
2.12699,4.06632,3.1262,0.1,0.2,1.5000000000000002,0.9952814764110935
2.12699,4.06632,3.1262,0.1,0.2,1.6,0.5585482391555415
2.12699,4.06632,3.1262,0.1,0.2,1.7000000000000002,0.9413917133475462
2.12699,4.06632,3.1262,0.1,0.2,1.8000000000000005,0.6217517659183514
2.12699,4.06632,3.1262,0.1,0.2,1.9,0.5505493743529687
2.12699,4.06632,3.1262,0.1,0.2,2.0,0.2865625232432296
2.12699,4.06632,3.1262,0.1,0.3,0.1,0.6198549728043383
2.12699,4.06632,3.1262,0.1,0.3,0.2,0.2229005562036466
2.12699,4.06632,3.1262,0.1,0.3,0.3,0.1671296410051833
2.12699,4.06632,3.1262,0.1,0.3,0.4,0.3538221299842076
2.12699,4.06632,3.1262,0.1,0.3,0.5,0.1748284899152932
2.12699,4.06632,3.1262,0.1,0.3,0.6,0.5234908994390717
2.12699,4.06632,3.1262,0.1,0.3,0.7,0.8830282973245885
2.12699,4.06632,3.1262,0.1,0.3,0.8,0.5584386985942924
2.12699,4.06632,3.1262,0.1,0.3,0.9,0.2292907310989787
2.12699,4.06632,3.1262,0.1,0.3,1.0,0.5127299475711807
2.12699,4.06632,3.1262,0.1,0.3,1.1,0.2671404892045657
2.12699,4.06632,3.1262,0.1,0.3,1.2000000000000002,0.1583073630955379
2.12699,4.06632,3.1262,0.1,0.3,1.3,0.3157138578610118
2.12699,4.06632,3.1262,0.1,0.3,1.4,0.3406991916957489
2.12699,4.06632,3.1262,0.1,0.3,1.5000000000000002,0.2701913650440634
2.12699,4.06632,3.1262,0.1,0.3,1.6,0.893160555564427
2.12699,4.06632,3.1262,0.1,0.3,1.7000000000000002,0.7310828108236571
2.12699,4.06632,3.1262,0.1,0.3,1.8000000000000005,0.4542272399063857
2.12699,4.06632,3.1262,0.1,0.3,1.9,0.6828400600273081
2.12699,4.06632,3.1262,0.1,0.3,2.0,0.9441737771778832
2.12699,4.06632,3.1262,0.1,0.4,0.1,0.5625647576014158
2.12699,4.06632,3.1262,0.1,0.4,0.2,0.3469388762369297
2.12699,4.06632,3.1262,0.1,0.4,0.3,0.601460825162236
2.12699,4.06632,3.1262,0.1,0.4,0.4,0.4084437068456585
2.12699,4.06632,3.1262,0.1,0.4,0.5,0.5065897333389658
2.12699,4.06632,3.1262,0.1,0.4,0.6,0.9920537037962002
2.12699,4.06632,3.1262,0.1,0.4,0.7,0.9190310036371244
2.12699,4.06632,3.1262,0.1,0.4,0.8,0.5600965418072991
2.12699,4.06632,3.1262,0.1,0.4,0.9,0.9156535774837454
2.12699,4.06632,3.1262,0.1,0.4,1.0,0.1288493456240587
2.12699,4.06632,3.1262,0.1,0.4,1.1,0.3797996198427379
2.12699,4.06632,3.1262,0.1,0.4,1.2000000000000002,0.3079151716115839
2.12699,4.06632,3.1262,0.1,0.4,1.3,0.503148643635922
2.12699,4.06632,3.1262,0.1,0.4,1.4,0.3634023175363526
2.12699,4.06632,3.1262,0.1,0.4,1.5000000000000002,0.1757659401552675
2.12699,4.06632,3.1262,0.1,0.4,1.6,0.8397835163959876
2.12699,4.06632,3.1262,0.1,0.4,1.7000000000000002,0.8572427946138258
2.12699,4.06632,3.1262,0.1,0.4,1.8000000000000005,0.6286337484635062
2.12699,4.06632,3.1262,0.1,0.4,1.9,0.6021327256866467
2.12699,4.06632,3.1262,0.1,0.4,2.0,0.9488049573696644
2.12699,4.06632,3.1262,0.1,0.5,0.1,0.9252925006866352
2.12699,4.06632,3.1262,0.1,0.5,0.2,0.4675704125169463
2.12699,4.06632,3.1262,0.1,0.5,0.3,0.8531371758742469
2.12699,4.06632,3.1262,0.1,0.5,0.4,0.230071659385208
2.12699,4.06632,3.1262,0.1,0.5,0.5,0.6544350751556675
2.12699,4.06632,3.1262,0.1,0.5,0.6,0.8394762424702257
2.12699,4.06632,3.1262,0.1,0.5,0.7,0.3872126554543587
2.12699,4.06632,3.1262,0.1,0.5,0.8,0.7718769931768709
2.12699,4.06632,3.1262,0.1,0.5,0.9,0.239516764116326
2.12699,4.06632,3.1262,0.1,0.5,1.0,0.1791251413116923
2.12699,4.06632,3.1262,0.1,0.5,1.1,0.4742955945861938
2.12699,4.06632,3.1262,0.1,0.5,1.2000000000000002,0.8327405999504636
2.12699,4.06632,3.1262,0.1,0.5,1.3,0.8575233715041038
2.12699,4.06632,3.1262,0.1,0.5,1.4,0.7479474799555286
2.12699,4.06632,3.1262,0.1,0.5,1.5000000000000002,0.8912560606572985
