layer_id,neuron_idx,final_mean,final_std,final_min,final_max,mean_change_percent
2_dense_layer1_weighted,0,-0.027653875,0.16045977,-0.3030339,0.15611798,-11.400811
2_dense_layer1_weighted,15,0.12612654,0.17718722,-0.18986404,0.35185736,0.86638796
2_dense_layer1_weighted,31,-0.08220231,0.067817286,-0.16441588,-0.0033159838,0.0
2_dense_layer1_weighted,47,0.10798526,0.07799095,-0.05053639,0.18405077,1.5091476
2_dense_layer1_weighted,63,0.14178367,0.06686511,0.035284095,0.22009291,-0.79445213
5_dense_8,0,-0.021542167,0.18202512,-0.38090292,0.46397603,-16.209272
5_dense_8,7,0.0031267293,0.18105894,-0.49316275,0.37197694,-59.48252
5_dense_8,15,0.01956902,0.19291076,-0.49806085,0.37534237,-3.840781
5_dense_8,23,-0.0038424525,0.20242298,-0.4538024,0.49781704,-38.23533
5_dense_8,31,0.016881835,0.19132937,-0.46504346,0.34420466,-2.0358915
8_dense_9,0,-0.003775455,0.10401691,-0.28273094,0.3223361,-1.7721348
